"Module","Flagged","File","Short"
"RM-MOD-001","True",".\results\run-20251016-172313-RM-MOD-001.json","{
    ""target"":  ""https://www.virtualsec.org"",
    ""status_code"":  200,
    ""x_powered_by"":  ""Not Found""
}"
"RM-MOD-001","ERROR","","The term 'if' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"RM-MOD-002","False",".\results\run-20251016-172313-RM-MOD-002.json","{
    ""target"":  ""https://www.virtualsec.org"",
    ""checks"":  [
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\u0027 OR \u00271\u0027=\u00271"",
                       ""url"":  ""https://www.virtualsec.org?q=%27+OR+%271%27%3D%271"",
                       ""status_code"":  200,
                       ""reflected"":  false,
                       ""sql_error"":  false,
                       ""body_snippet"":  ""\u003c!doctype html\u003e\r\n\u003chtml lang=\""en-US\"" prefix=\""og: http://ogp.me/ns# fb: http://ogp.me/ns/fb# product: http://ogp.me/ns/product#\"" itemscope itemtype=\""http://schema.org/Offer\""\u003e\r\n\u003chead\u003e\r\n    \u003cmeta charset=\""UTF-8\""\u003e\r\n    \u003cmeta name=\""viewport\"" content=\""width=device-width, initial-scale=1, shrink-to-fit=no\""\u003e\r\n    \u003cmeta http-equiv=\""X-UA-Compatible\"" content=\""IE=edge\""\u003e\r\n    \u003ctitle\u003eVirtual Security-Architect of Information Security\u003c/title\u003e\n\u003cmeta name=\u0027robots\u0027 content=\u0027max-image-preview:large\u0027 /\u003e\n\t\u003cstyle\u003eimg:is([sizes=\""auto\"" i], [sizes^=\""auto,\"" i]) { contain-intrinsic-size: 3000px 1500px }\u003c/style\u003e\n\t\u003clink rel=\u0027dns-prefetch\u0027 href=\u0027//fonts.googleapis.com\u0027 /\u003e\n\u003clink rel=\""alternate\"" type=\""application/rss+xml\"" title=\""Virtual Security-Architect of Information Security \u0026raquo; Feed\"" href=\""https://virtualsec.org/""
                   },
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\u0027 OR 1=1 -- "",
                       ""url"":  ""https://www.virtualsec.org?q=%27+OR+1%3D1+--+"",
                       ""status_code"":  200,
                       ""reflected"":  false,
                       ""sql_error"":  false,
                       ""body_snippet"":  ""\u003c!doctype html\u003e\r\n\u003chtml lang=\""en-US\"" prefix=\""og: http://ogp.me/ns# fb: http://ogp.me/ns/fb# product: http://ogp.me/ns/product#\"" itemscope itemtype=\""http://schema.org/Offer\""\u003e\r\n\u003chead\u003e\r\n    \u003cmeta charset=\""UTF-8\""\u003e\r\n    \u003cmeta name=\""viewport\"" content=\""width=device-width, initial-scale=1, shrink-to-fit=no\""\u003e\r\n    \u003cmeta http-equiv=\""X-UA-Compatible\"" content=\""IE=edge\""\u003e\r\n    \u003ctitle\u003eVirtual Security-Architect of Information Security\u003c/title\u003e\n\u003cmeta name=\u0027robots\u0027 content=\u0027max-image-preview:large\u0027 /\u003e\n\t\u003cstyle\u003eimg:is([sizes=\""auto\"" i], [sizes^=\""auto,\"" i]) { contain-intrinsic-size: 3000px 1500px }\u003c/style\u003e\n\t\u003clink rel=\u0027dns-prefetch\u0027 href=\u0027//fonts.googleapis.com\u0027 /\u003e\n\u003clink rel=\""alternate\"" type=\""application/rss+xml\"" title=\""Virtual Security-Architect of Information Security \u0026raquo; Feed\"" href=\""https://virtualsec.org/""
                   },
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\"" OR \""1\""=\""1"",
                       ""url"":  ""https://www.virtualsec.org?q=%22+OR+%221%22%3D%221"",
                       ""status_code"":  200,
                       ""reflected"":  false,
                       ""sql_error"":  false,
                       ""body_snippet"":  ""\u003c!doctype html\u003e\r\n\u003chtml lang=\""en-US\"" prefix=\""og: http://ogp.me/ns# fb: http://ogp.me/ns/fb# product: http://ogp.me/ns/product#\"" itemscope itemtype=\""http://schema.org/Offer\""\u003e\r\n\u003chead\u003e\r\n    \u003cmeta charset=\""UTF-8\""\u003e\r\n    \u003cmeta name=\""viewport\"" content=\""width=device-width, initial-scale=1, shrink-to-fit=no\""\u003e\r\n    \u003cmeta http-equiv=\""X-UA-Compatible\"" content=\""IE=edge\""\u003e\r\n    \u003ctitle\u003eVirtual Security-Architect of Information Security\u003c/title\u003e\n\u003cmeta name=\u0027robots\u0027 content=\u0027max-image-preview:large\u0027 /\u003e\n\t\u003cstyle\u003eimg:is([sizes=\""auto\"" i], [sizes^=\""auto,\"" i]) { contain-intrinsic-size: 3000px 1500px }\u003c/style\u003e\n\t\u003clink rel=\u0027dns-prefetch\u0027 href=\u0027//fonts.googleapis.com\u0027 /\u003e\n\u003clink rel=\""alternate\"" type=\""application/rss+xml\"" title=\""Virtual Security-Architect of Information Security \u0026raquo; Feed\"" href=\""https://virtualsec.org/""
                   },
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\u0027; --"",
                       ""url"":  ""https://www.virtualsec.org?q=%27%3B+--"",
                       ""status_code"":  200,
                       ""reflected"":  false,
                       ""sql_error"":  false,
                       ""body_snippet"":  ""\u003c!doctype html\u003e\r\n\u003chtml lang=\""en-US\"" prefix=\""og: http://ogp.me/ns# fb: http://ogp.me/ns/fb# product: http://ogp.me/ns/product#\"" itemscope itemtype=\""http://schema.org/Offer\""\u003e\r\n\u003chead\u003e\r\n    \u003cmeta charset=\""UTF-8\""\u003e\r\n    \u003cmeta name=\""viewport\"" content=\""width=device-width, initial-scale=1, shrink-to-fit=no\""\u003e\r\n    \u003cmeta http-equiv=\""X-UA-Compatible\"" content=\""IE=edge\""\u003e\r\n    \u003ctitle\u003eVirtual Security-Architect of Information Security\u003c/title\u003e\n\u003cmeta name=\u0027robots\u0027 content=\u0027max-image-preview:large\u0027 /\u003e\n\t\u003cstyle\u003eimg:is([sizes=\""auto\"" i], [sizes^=\""auto,\"" i]) { contain-intrinsic-size: 3000px 1500px }\u003c/style\u003e\n\t\u003clink rel=\u0027dns-prefetch\u0027 href=\u0027//fonts.googleapis.com\u0027 /\u003e\n\u003clink rel=\""alternate\"" type=\""application/rss+xml\"" title=\""Virtual Security-Architect of Information Security \u0026raquo; Feed\"" href=\""https://virtualsec.org/""
                   },
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\u0027 OR \u0027a\u0027=\u0027a"",
                       ""url"":  ""https://www.virtualsec.org?q=%27+OR+%27a%27%3D%27a"",
                       ""status_code"":  200,
                       ""reflected"":  false,
                       ""sql_error"":  false,
                       ""body_snippet"":  ""\u003c!doctype html\u003e\r\n\u003chtml lang=\""en-US\"" prefix=\""og: http://ogp.me/ns# fb: http://ogp.me/ns/fb# product: http://ogp.me/ns/product#\"" itemscope itemtype=\""http://schema.org/Offer\""\u003e\r\n\u003chead\u003e\r\n    \u003cmeta charset=\""UTF-8\""\u003e\r\n    \u003cmeta name=\""viewport\"" content=\""width=device-width, initial-scale=1, shrink-to-fit=no\""\u003e\r\n    \u003cmeta http-equiv=\""X-UA-Compatible\"" content=\""IE=edge\""\u003e\r\n    \u003ctitle\u003eVirtual Security-Architect of Information Security\u003c/title\u003e\n\u003cmeta name=\u0027robots\u0027 content=\u0027max-image-preview:large\u0027 /\u003e\n\t\u003cstyle\u003eimg:is([sizes=\""auto\"" i], [sizes^=\""auto,\"" i]) { contain-intrinsic-size: 3000px 1500px }\u003c/style\u003e\n\t\u003clink rel=\u0027dns-prefetch\u0027 href=\u0027//fonts.googleapis.com\u0027 /\u003e\n\u003clink rel=\""alternate\"" type=\""application/rss+xml\"" title=\""Virtual Security-Architect of Information Security \u0026raquo; Feed\"" href=\""https://virtualsec.org/""
                   }
               ]
}"
"RM-MOD-002","ERROR","","The term 'if' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"RM-MOD-003","False",".\results\run-20251016-172313-RM-MOD-003.json","{
    ""target"":  ""https://www.virtualsec.org"",
    ""checks"":  [
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\u003cscript\u003ealert(1)\u003c/script\u003e"",
                       ""url"":  ""https://www.virtualsec.org?q=%3Cscript%3Ealert%281%29%3C%2Fscript%3E"",
                       ""status_code"":  200,
                       ""reflected"":  false
                   },
                   {
                       ""param"":  ""q"",
                       ""payload"":  ""\""\u003e\u003cimg src=x onerror=alert(1)\u003e"",
                       ""url"":  ""https://www.virtualsec.org?q=%22%3E%3Cimg+src%3Dx+onerror%3Dalert%281%29%3E"",
                       ""status_code"":  403,
                       ""reflected"":  false
                   }
               ]
}"
"RM-MOD-003","ERROR","","The term 'if' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"RM-MOD-004","False",".\results\run-20251016-172313-RM-MOD-004.json","{
    ""target"":  ""https://www.virtualsec.org"",
    ""checks"":  [
                   {
                       ""param"":  ""next"",
                       ""url"":  ""https://www.virtualsec.org?q=\u0026next=http%3A%2F%2Fexample.com%2F"",
                       ""status_code"":  301,
                       ""location"":  ""https://virtualsec.org/?q\u0026next=http%3A%2F%2Fexample.com%2F"",
                       ""open_redirect"":  false
                   },
                   {
                       ""param"":  ""redirect"",
                       ""url"":  ""https://www.virtualsec.org?q=\u0026redirect=http%3A%2F%2Fexample.com%2F"",
                       ""status_code"":  301,
                       ""location"":  ""https://virtualsec.org/?q\u0026redirect=http%3A%2F%2Fexample.com%2F"",
                       ""open_redirect"":  false
                   },
                   {
                       ""param"":  ""url"",
                       ""url"":  ""https://www.virtualsec.org?q=\u0026url=http%3A%2F%2Fexample.com%2F"",
                       ""status_code"":  301,
                       ""location"":  ""https://virtualsec.org/?q\u0026url=http%3A%2F%2Fexample.com%2F"",
                       ""open_redirect"":  false
                   },
                   {
                       ""param"":  ""return"",
                       ""url"":  ""https://www.virtualsec.org?q=\u0026return=http%3A%2F%2Fexample.com%2F"",
                       ""status_code"":  301,
                       ""location"":  ""https://virtualsec.org/?q\u0026return=http%3A%2F%2Fexample.com%2F"",
                       ""open_redirect"":  false
                   },
                   {
                       ""param"":  ""r"",
                       ""url"":  ""https://www.virtualsec.org?q=\u0026r=http%3A%2F%2Fexample.com%2F"",
                       ""status_code"":  301,
                       ""location"":  ""https://virtualsec.org/?q\u0026r=http%3A%2F%2Fexample.com%2F"",
                       ""open_redirect"":  false
                   }
               ]
}"
"RM-MOD-004","ERROR","","The term 'if' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"RM-MOD-005","False",".\results\run-20251016-172313-RM-MOD-005.json","{
    ""target"":  ""https://www.virtualsec.org"",
    ""checks"":  [
                   {
                       ""path"":  ""/"",
                       ""url"":  ""https://www.virtualsec.org/"",
                       ""status_code"":  200,
                       ""dir_listing"":  false
                   },
                   {
                       ""path"":  ""/uploads/"",
                       ""url"":  ""https://www.virtualsec.org/uploads/"",
                       ""status_code"":  404,
                       ""dir_listing"":  false
                   },
                   {
                       ""path"":  ""/static/"",
                       ""url"":  ""https://www.virtualsec.org/static/"",
                       ""status_code"":  404,
                       ""dir_listing"":  false
                   },
                   {
                       ""path"":  ""/images/"",
                       ""url"":  ""https://www.virtualsec.org/images/"",
                       ""status_code"":  404,
                       ""dir_listing"":  false
                   }
               ]
}"
"RM-MOD-005","ERROR","","The term 'if' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
